name,time,windspeed_ZMW
windgeber_ZMW,1706637977000000000,3.4
windgeber_ZMW,1706638577000000000,3.5
windgeber_ZMW,1706639177000000000,4.1
windgeber_ZMW,1706639777000000000,4.7
windgeber_ZMW,1706640377000000000,5
windgeber_ZMW,1706640977000000000,4.8
windgeber_ZMW,1706641577000000000,4.8
windgeber_ZMW,1706642177000000000,5.5
windgeber_ZMW,1706642777000000000,5.1
windgeber_ZMW,1706643377000000000,4.9
windgeber_ZMW,1706643977000000000,5.2
windgeber_ZMW,1706644577000000000,3.8
windgeber_ZMW,1706645177000000000,3.8
windgeber_ZMW,1706645777000000000,4.6
windgeber_ZMW,1706646377000000000,4.3
windgeber_ZMW,1706646977000000000,4.2
windgeber_ZMW,1706647577000000000,4.7
windgeber_ZMW,1706648177000000000,4.2
windgeber_ZMW,1706648777000000000,4.5
windgeber_ZMW,1706649377000000000,5.2
windgeber_ZMW,1706649977000000000,5.3
windgeber_ZMW,1706650577000000000,5.4
windgeber_ZMW,1706651177000000000,4.9
windgeber_ZMW,1706651777000000000,4.6
windgeber_ZMW,1706652377000000000,4.7
windgeber_ZMW,1706652977000000000,4.9
windgeber_ZMW,1706653577000000000,4.8
windgeber_ZMW,1706654177000000000,4.7
windgeber_ZMW,1706654777000000000,5.1
windgeber_ZMW,1706655377000000000,5
windgeber_ZMW,1706655977000000000,5.1
windgeber_ZMW,1706656577000000000,5.1
windgeber_ZMW,1706657177000000000,6
windgeber_ZMW,1706657777000000000,5.9
windgeber_ZMW,1706658377000000000,6.3
windgeber_ZMW,1706658977000000000,6.9
windgeber_ZMW,1706659577000000000,7
windgeber_ZMW,1706660177000000000,5.6
windgeber_ZMW,1706660777000000000,4.9
windgeber_ZMW,1706661377000000000,4.7
windgeber_ZMW,1706661977000000000,5.7
windgeber_ZMW,1706662577000000000,6.4
windgeber_ZMW,1706663177000000000,6.4
windgeber_ZMW,1706663777000000000,6.3
windgeber_ZMW,1706664377000000000,6.1
windgeber_ZMW,1706664977000000000,5.2
windgeber_ZMW,1706665577000000000,5.6
windgeber_ZMW,1706666177000000000,6.3
windgeber_ZMW,1706666777000000000,5.7
windgeber_ZMW,1706667377000000000,5.6
windgeber_ZMW,1706667977000000000,6
windgeber_ZMW,1706668577000000000,6.8
windgeber_ZMW,1706669177000000000,7.1
windgeber_ZMW,1706669777000000000,7.3
windgeber_ZMW,1706670377000000000,7
windgeber_ZMW,1706670977000000000,7.9
windgeber_ZMW,1706671577000000000,7.8
windgeber_ZMW,1706672177000000000,7.4
windgeber_ZMW,1706672777000000000,6.7
windgeber_ZMW,1706673377000000000,6.4
windgeber_ZMW,1706673977000000000,7.5
windgeber_ZMW,1706674577000000000,7.3
windgeber_ZMW,1706675177000000000,6.9
windgeber_ZMW,1706675777000000000,6.8
windgeber_ZMW,1706676377000000000,8
windgeber_ZMW,1706676977000000000,6.3
windgeber_ZMW,1706677577000000000,4.5
windgeber_ZMW,1706678177000000000,4.3
windgeber_ZMW,1706678777000000000,5.5
windgeber_ZMW,1706679377000000000,6.2
windgeber_ZMW,1706679977000000000,5.4
windgeber_ZMW,1706680577000000000,5.8
windgeber_ZMW,1706681177000000000,5
windgeber_ZMW,1706681777000000000,5.7
windgeber_ZMW,1706682377000000000,4.9
windgeber_ZMW,1706682977000000000,4.9
windgeber_ZMW,1706683577000000000,4.4
windgeber_ZMW,1706684177000000000,4.3
windgeber_ZMW,1706684777000000000,3.5
windgeber_ZMW,1706685377000000000,4.4
windgeber_ZMW,1706685977000000000,5.1
windgeber_ZMW,1706686577000000000,3.9
windgeber_ZMW,1706687177000000000,5.9
windgeber_ZMW,1706687777000000000,5.8
windgeber_ZMW,1706688377000000000,5.8
windgeber_ZMW,1706688977000000000,6.4
windgeber_ZMW,1706689577000000000,5.8
windgeber_ZMW,1706690177000000000,4.9
windgeber_ZMW,1706690777000000000,4.9
windgeber_ZMW,1706691377000000000,4.3
windgeber_ZMW,1706691977000000000,4.9
windgeber_ZMW,1706692577000000000,4.6
windgeber_ZMW,1706693177000000000,4.5
windgeber_ZMW,1706693777000000000,3.8
windgeber_ZMW,1706694377000000000,3.1
windgeber_ZMW,1706694977000000000,4.1
windgeber_ZMW,1706695577000000000,4
windgeber_ZMW,1706696177000000000,4
windgeber_ZMW,1706696777000000000,3
windgeber_ZMW,1706697377000000000,6.1
windgeber_ZMW,1706697977000000000,4.9
windgeber_ZMW,1706698577000000000,4
windgeber_ZMW,1706699177000000000,3.7
windgeber_ZMW,1706699777000000000,3.9
windgeber_ZMW,1706700377000000000,3.1
windgeber_ZMW,1706700977000000000,3.9
windgeber_ZMW,1706701577000000000,5.9
windgeber_ZMW,1706702177000000000,4.9
windgeber_ZMW,1706702777000000000,4.7
windgeber_ZMW,1706703377000000000,5.2
windgeber_ZMW,1706703977000000000,5.3
windgeber_ZMW,1706704577000000000,4.7
windgeber_ZMW,1706705177000000000,5.2
windgeber_ZMW,1706705777000000000,4.3
windgeber_ZMW,1706706377000000000,5.2
windgeber_ZMW,1706706977000000000,6
windgeber_ZMW,1706707577000000000,6.8
windgeber_ZMW,1706708177000000000,5
windgeber_ZMW,1706708777000000000,4.9
windgeber_ZMW,1706709377000000000,6.4
windgeber_ZMW,1706709977000000000,6.1
windgeber_ZMW,1706710577000000000,5.9
windgeber_ZMW,1706711177000000000,6.9
windgeber_ZMW,1706711777000000000,6.6
windgeber_ZMW,1706712377000000000,5.8
windgeber_ZMW,1706712977000000000,6.8
windgeber_ZMW,1706713577000000000,5.2
windgeber_ZMW,1706714177000000000,5.7
windgeber_ZMW,1706714777000000000,5.7
windgeber_ZMW,1706715377000000000,5.8
windgeber_ZMW,1706715977000000000,6
windgeber_ZMW,1706716577000000000,5.3
windgeber_ZMW,1706717177000000000,7.6
windgeber_ZMW,1706717777000000000,6.2
windgeber_ZMW,1706718377000000000,6.3
windgeber_ZMW,1706718977000000000,5.2
windgeber_ZMW,1706719577000000000,8.1
windgeber_ZMW,1706720177000000000,6.7
windgeber_ZMW,1706720777000000000,7.1
windgeber_ZMW,1706721377000000000,6.7
windgeber_ZMW,1706721977000000000,7.3
windgeber_ZMW,1706722577000000000,6.4
windgeber_ZMW,1706723177000000000,7.7
windgeber_ZMW,1706723777000000000,6.8
windgeber_ZMW,1706724377000000000,7.7
windgeber_ZMW,1706724977000000000,6.9
windgeber_ZMW,1706725577000000000,6.5
windgeber_ZMW,1706726177000000000,6.5
windgeber_ZMW,1706726777000000000,7.1
windgeber_ZMW,1706727377000000000,6.4
windgeber_ZMW,1706727977000000000,7.8
windgeber_ZMW,1706728577000000000,8.3
windgeber_ZMW,1706729177000000000,7.2
windgeber_ZMW,1706729777000000000,6.9
windgeber_ZMW,1706730377000000000,6.2
windgeber_ZMW,1706730977000000000,7.5
windgeber_ZMW,1706731577000000000,7.4
windgeber_ZMW,1706732177000000000,6.6
windgeber_ZMW,1706732777000000000,8
windgeber_ZMW,1706733377000000000,7.3
windgeber_ZMW,1706733977000000000,6.3
windgeber_ZMW,1706734577000000000,6.5
windgeber_ZMW,1706735177000000000,6.4
windgeber_ZMW,1706735777000000000,6
windgeber_ZMW,1706736377000000000,6.2
windgeber_ZMW,1706736977000000000,5.8
windgeber_ZMW,1706737577000000000,5.3
windgeber_ZMW,1706738177000000000,6.3
windgeber_ZMW,1706738777000000000,6.1
windgeber_ZMW,1706739377000000000,6.2
windgeber_ZMW,1706739977000000000,6.7
windgeber_ZMW,1706740577000000000,7.8
windgeber_ZMW,1706741177000000000,8.6
windgeber_ZMW,1706741777000000000,8
windgeber_ZMW,1706742377000000000,8.6
windgeber_ZMW,1706742977000000000,7.8
windgeber_ZMW,1706743577000000000,7.5
windgeber_ZMW,1706744177000000000,7.3
windgeber_ZMW,1706744777000000000,7.5
windgeber_ZMW,1706745377000000000,8
windgeber_ZMW,1706745977000000000,9.7
windgeber_ZMW,1706746577000000000,10.1
windgeber_ZMW,1706747177000000000,9.9
windgeber_ZMW,1706747777000000000,9.5
windgeber_ZMW,1706748377000000000,8.9
windgeber_ZMW,1706748977000000000,8.3
windgeber_ZMW,1706749577000000000,9
windgeber_ZMW,1706750177000000000,8
windgeber_ZMW,1706750777000000000,7.7
windgeber_ZMW,1706751377000000000,7.8
windgeber_ZMW,1706751977000000000,8.1
windgeber_ZMW,1706752577000000000,7.7
windgeber_ZMW,1706753177000000000,7.9
windgeber_ZMW,1706753777000000000,7.5
windgeber_ZMW,1706754377000000000,7.6
windgeber_ZMW,1706754977000000000,7.4
windgeber_ZMW,1706755577000000000,7.8
windgeber_ZMW,1706756177000000000,9.1
windgeber_ZMW,1706756777000000000,8.9
windgeber_ZMW,1706757377000000000,7.4
windgeber_ZMW,1706757977000000000,8
windgeber_ZMW,1706758577000000000,7.6
